level_0	index	SITEID	DESKTOP_MANUF	OTHER_DESKTOPS	LAPTOP_MANUF	OTHER_LAPTOPS	DESKTOP_VIRTUALIZATION_MANUF	WORKSTATION_MANUF	OTHER_WORKSTATIONS	SERVER_MANUF	SERVER_SERIES	OTHER_SERVERS	OS_MANUF	OS_MODEL	OTHER_OS	SERVER_VIRTUALIZATION_MANUF	NETWORK_PRINTER_MANUF	OTHER_NETWORK_PRINTERS	HIGHVOLUME_PRINTER_MANUF	COPIER_MANUF	UPS_MANUF	DAS_MANUF	NAS_MANUF	SAN_MANUF	TAPE_LIBRARY_MANUF	STORAGE_VIRTUALIZATION_MANUF	STORAGE_MGMT_SW_MANUF	PBX_MANUF	VOIP_MANUF	VOIP_HOSTING	UNIFIED_COMM_SERVICES_MANUF	LONG_DISTANCE_CARRIER	HANDSET_SMARTPHONE_MANUF	HANDSET_SMARTPHONE_OS	CELL_SERVICES_PROVIDER	PBX_MAINT_PROVIDER	MOBILITY_CONTRACT_EXPIRE	NETWORK_LINE_CARRIER	VIDEO_CONF_SERVICES_MANUF	ROUTER_MANUF	SWITCH_MANUF	VPN_MANUF	ISP_PROVIDER	NETWORK_SERVICES_PROVIDER	HOST_REMOTE	ETHERNET_TECH	VPN_CONTRACT_EXPIRE	ASSET_MGMT_SW_MANUF	ENTERPRISE_MGMT_SW_MANUF	IDACCESS_SW_MANUF	APPLICATION_SERVER_SW_MANUF	BUSINESS_INTEL_SW_MANUF	COLLABORATIVE_SW_MANUF	CRM_SW_MANUF	DOC_MGMT_SW_MANUF	APP_CONSOLIDATION_SW_MANUF	ERP_SW_MANUF	ACCOUNTING_SW_MANUF	HUMAN_RES_SW_MANUF	SUPPLY_CHAIN_SW_MANUF	WEB_PORTAL_SW_MANUF	DBMS_MANUF	DATAWAREHOUSE_SW_MANUF	SW_AS_A_SERVICE_ERP_MANUF	SW_AS_A_SERVICE_CRM_MANUF	SW_AS_A_SERVICE_STORAGE_MANUF	SW_AS_A_SERVICE_EMAIL_MANUF	SW_AS_A_SERVICE_OTHER_MANUF	EMAIL_MESSAGING_SW_MANUF	DEVELOPMENT_SW_TOOL	ANTIVIRUS_SW_MANUF	ECOMMERCE_TYPE
66775	66775	202079140																																																	APACHE																					
69110	69110	202082488											Microsoft	Xbox	Yes		HP																	Google						SMC											APACHE										WordPress							Microsoft	Dovecot	COMPILER		
80231	80231	202097686																																																																						
131862	131862	206017143											Cisco	Cisco IOS	Yes																									F5-NETWORKS																																
137191	137191	207003319											Cisco	Cisco IOS	Yes																									Dell	Cisco										APACHE		SoundCloud	Salesforce							WordPress	Google			Salesforce			Marketo	Microsoft	Microsoft	WEBSENSE	
137454	137454	207006178											Cisco	Cisco IOS	Yes														Cisco	Cisco										Cisco	Cisco											TableauSoft		Salesforce			NAVEXGlobal		SAP	SAP	Microsoft	Google			Salesforce			Kenexa	Microsoft			
139657	139657	207022585											Microsoft	Xbox	Yes		HP																							MikroTik											APACHE				Amazon				BambooHR			Google								Docker		
149085	149085	207069043							Yes			Yes	IBM	i OS	Yes	Microsoft	HP	Yes					IBM																AXIS	IBM	Cisco							Oracle			APACHE	Crimson Hex	Apigee	PegaSys	Microsoft		SAP	INTUIT	SAP	IBM	Microsoft	Oracle			Salesforce			ServiceNow	EXPERIAN	Oracle	WEBSENSE	
149422	149422	207070202										Yes	Microsoft	Xbox	Yes												F5-NETWORKS													Cisco																	Oracle											Microsoft				
150569	150569	207074222																																																																						
173264	173264	207157582											Microsoft	ASP.NET	Yes	VMware																																				MICRO-STRAT	Adobe		Amazon		Microsoft		LINKEDIN		Microsoft	Microsoft						Kaltura		COMPILER	Oracle	
185652	185652	207201245											IBM	OS2																										MikroTik	Cisco																															
188796	188796	207208473											IBM	OS2	Yes	Citrix							Nutanix				IBM		Cisco	Cisco										Cisco	Cisco										APACHE	INFO-BUILD	GitHub	Salesforce	Microsoft		PegaSys		SAP	SAP	Microsoft	Oracle			Microsoft			Oracle	OpenSource	Infragistic	Veracode	
188917	188917	207208675											Cisco	Cisco IOS																										Cisco											APACHE										WordPress								Dovecot			
189109	189109	207208993											OpenBSD	OS													F5-NETWORKS																																													
195591	195591	207218331																																																																						
214739	214739	207244262											IBM	OS2																										Cisco	Cisco										APACHE																	Marketo	Microsoft	Amazon	Microsoft	
258783	258783	208000702											Microsoft	Xbox	Yes		HP																							Cisco	Cisco										APACHE																			COMPILER		
