level_0	index	SITEID	IT_BUDGET	HARDWARE_BUDGET	PC_BUDGET	SERVER_BUDGET	TERMINAL_BUDGET	PRINTER_BUDGET	OTHER_HARDWARE_BUDGET	STORAGE_BUDGET	COMM_BUDGET	SOFTWARE_BUDGET	SERVICES_BUDGET
49625	49625	202082488	42221	3666	2417	0	526	447	973	276	2151	10183	16109
78240	78240	206017143	2352958	167542	120897	8568	16183	16183	32366	5712	192004	433686	965986
89217	89217	202079140	135054	7217	4420	1569	465	381	846	381	5634	28792	31824
110729	110729	202097686	82819	6459	5057	0	601	601	1202	200	7402	16719	37239
126553	126553	207208675	7820	617	449	0	67	61	128	41	482	2462	2722
134271	134271	207006178	91605704	5341507	3842358	289752	503916	503916	1007832	201566	2823109	17505477	31256666
145920	145920	207074222	3791163	299248	217817	0	32283	29381	61664	19769	233628	1193864	1319605
163597	163597	208001093	377744	38005	24103	0	0	5294	0	3013	24664	81464	105893
163600	163600	208001216	2498493	133511	81773	29028	8608	7051	15659	7051	104234	532649	588749
163603	163603	208001392	39295841	2798062	2098547	119917	0	239834	0	79945	3206592	7242819	16132556
163609	163609	208002352	870930	75752	54271	3188	8273	7894	16167	2125	67879	276618	236727
163674	163674	208003167	645327	34484	9749	18241	0	1693	0	2328	26922	137576	152066
163677	163677	208004347	296405	14087	8213	2092	1372	1372	2744	1038	9426	47655	151136
163678	163678	208004536	301956	18065	12264	722	2077	1964	4041	1038	10601	50183	79389
163704	163704	208005145	200324	11681	8918	533	0	921	0	291	6174	38281	68352
163736	163736	208005944	1472239	69970	40793	10391	6815	6815	13630	5157	46817	236701	750690
163748	163748	208007038	1203063	60166	44896	1978	0	5783	0	1471	39047	128967	167642
163750	163750	208007445	137296	7791	3032	2662	0	669	0	619	6102	36712	33007
163760	163760	208008003	1716859	102716	48697	28851	0	9005	0	5564	60274	285332	451391
163764	163764	208008576	327914	17523	11001	2409	1630	1484	3114	998	13680	69907	77270
163765	163765	208008822	667184386	39916164	18923846	11211654	4119113	3499463	7618576	2162088	23423077	110882222	175413789
163770	163770	208009391	54292	3248	2173	155	402	375	777	144	1906	9023	14274
