level_0	index	SITEID	IT_STAFF	WIRELESS_USERS	INTERNET_USERS	DEVELOPERS	PCS	DESKTOPS	LAPTOPS	SERVERS	PRINTERS	COLOR_PRINTERS	MULTIFUNC_PRINTERS	STORAGE	EXTENSIONS	CALLCENTER_CALLERS	NETWORK_LINES	ROUTERS
39976	39976	202079140	1 to 4	1	1 to 4	0	19	16	3	3	4	0	0	50 to 100 TB	0	0	0	0
84095	84095	202082488	0	0			8	4	4	0	2	0	0	100 to 500 TB	0	0	0	0
99404	99404	202097686	0	0			8	5	3	0	2	0	0	1 to 10 TB	0	0	0	0
105654	105654	206017143	10 to 24	0			437	341	96	39	86	0	0	10 to 25 TB	0	0	0	0
112018	112018	207003319		18	25 to 49	0	48	32	16	6	7	0	0	500 TB to 1 PB	0	0	6	0
122661	122661	207070202	0	4	5 to 9	0	12	9	3	1	3	0	0	100 to 500 TB	0	0	3	0
124438	124438	207201245	1 to 4	13	25 to 49	0	22	18	4	3	4	0	0	100 to 500 TB	0	0	5	0
124533	124533	207074222	0	12	10 to 24	0	1	0	1	0	1	0	0	10 to 25 TB	0	0	3	0
153319	153319	208001093	0	5	25 to 49	0	0	0	0	0	0	0	0		0	0	4	0
157607	157607	208002388	10 to 24	143	100 to 249	0	424	287	137	52	74	0	0	50 to 100 TB	0	0	8	0
157612	157612	208003151	25 to 49	28	50 to 99	0	207	177	30	66	49	0	0	1 PB to 3 PB	0	0	11	0
157627	157627	208004663	1 to 4	43	100 to 249	0	128	104	24	10	27	0	0	25 to 50 TB	0	0	6	0
157635	157635	208004995	0	0		0	35	26	9	1	6	0	0	1 to 10 TB	0	0	0	0
157641	157641	208005075	5 to 9	73	250 to 499	0	350	290	60	28	61	0	0	100 to 500 TB	0	0	8	0
157712	157712	208005584	0	30	50 to 99	0	62	41	21	3	9	0	0	100 to 500 TB	0	0	5	0
157726	157726	208005827	1 to 4	3	5 to 9	0	24	19	5	3	6	0	0	1 to 10 TB	0	0	2	0
157749	157749	208007445	1 to 4	14	25 to 49	0	21	15	6	2	5	0	0	500 TB to 1 PB	0	0	4	0
157820	157820	208008318	100 to 249	9	10 to 24	0	1532	1178	354	205	318	0	0	50 to 100 TB	0	0	6	0
157828	157828	208009133	50 to 99	268	500 to 999	0	1035	635	400	242	165	0	0	1 PB to 3 PB	0	0	10	0
157830	157830	208009289	50 to 99	381	500 to 999	0	890	732	158	249	169	0	0	100 to 500 TB	0	0	26	0
157831	157831	208009307		61	250 to 499	0	201	172	29	13	43	0	0	100 to 500 TB	0	0	10	0
157835	157835	208009430		101	100 to 249	0	90	56	34	11	14	0	0	100 to 500 TB	0	0	7	0
157837	157837	208009460	50 to 99	143	250 to 499	0	690	531	159	125	149	0	0	25 to 50 TB	0	8	11	0
157847	157847	208009865		5	5 to 9	0	111	69	42	9	16	0	0	100 to 500 TB	0	2	3	0
157866	157866	208010917	0	156	250 to 499	0	17	12	5	2	5	0	0	100 to 500 TB	0	0	12	0
157867	157867	208010988	5 to 9	61	100 to 249	0	117	72	45	9	17	0	0	100 to 500 TB	0	0	7	0
158137	158137	208011297	0	8	10 to 24	0	35	25	10	3	8	0	0	500 TB to 1 PB	0	0	4	0
