level_0	index	TABKEY	CLASS	MANUF	MODEL	GROUP	SERIES	DEVTYPE	DESCRIPTION	CATEGORY
1	1	4967	PRG	Clarizen	PRJCT-MGT-SW	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
2	2	6739	PRG	Xerox	FreeFlow	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
3	3	8917	PRG	Pentaho	BI-SOFTWARE	BI	DBMS-BI	APPL	BUSINESS INTELLIGENCE	
4	4	10979	PRG	Bentley	PondPack	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
5	5	6253100	AUX	IBM	NAS	DISK-NAS	NAS	NAS	NETWORK ATTACHED STORAGE	
7	7	9173	RTR	Apcon	ROUTER	ROUTER	ROUTER		ROUTER	
10	10	6516900	PRG	MICROSOFT	PORTAL	PORTAL-MGMT	WORKFLOW	APPL	PORTAL MANAGEMENT	
11	11	5104	PRG	BMC	BladeLogic	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
12	12	1287	PRG	Amazon	CloudFront	DOC-MGMT	WORKFLOW	APPL	DOCUMENT MANAGEMENT	
14	14	90570900	PRT	LANIER	PRINTER	PRINTER	PRINTER	UNSPEC	PRINTER	
16	16	5268	PRT	HP	Designjet	PRINTER	PRINTER	UNSPEC	PRINTER	
17	17	11738	PRG	BrowsrStack	BrowserStack	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
21	21	127	PRG	ThmsnReutrs	CaseLogistix	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
23	23	4668	PRG	Siemens	APOGEE	MANUFACTURER	IND-SPECIFIC	APPL	MANUFACTURING	
24	24	6576	PRG	Savvis	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
26	26	11361	NLV	Piwik	NLV	NLV	NLV	NLV	NLV	
30	30	11619	PRG	Jetbrains	TeamCity	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
31	31	8597	PRG	Software-ag	Alfabet	PROJECT-MGT	ENTPRISE-APP	APPL	PROJECT MANAGEMENT SOFTWARE	
34	34	11647	PRG	INFOSYS-INT	Finacle	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
36	36	11245	PRG	CmpaignMntr	CampaignMntr	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
41	41	108	PRG	Bomgar	DESKTOP-MGMT	DESKTOP-MGMT	SYSTEMS-MGMT	SYSTEM	DESKTOP MANAGEMENT TOOLS	
42	42	948	PRG	Oracle	Oracle Sales	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
43	43	11164	PRG	CRYENGINE	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
45	45	12171	PRG	Gunicorn	NET-MGMT-SW	DATA-CENTER	ENTERPRISE-M	APPL	NETWORK MANGEMENT SOFTWARE	
47	47	8569	NLV	Red-Hat	NLV	NLV	NLV	NLV	NLV	
49	49	606	PRG	NetApp	OnCommand	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
51	51	10552	PRG	nasuni	IAAS	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
52	52	7383	PRG	Amazon	Payments	COMMERCE	ENTPRISE-APP	APPL	COMMERCE APPLICATION	
54	54	10696	PRG	Intel	Mashery	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
55	55	11363	PRG	KISSmetrics	MONITORNG-SW	MONITORING	ENTERPRISE-M	APPL	SECURITY INFORMATION & EVENT	
56	56	10445	PRG	Apache-Soft	Lucene	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
57	57	90343700	PRG	SIEBEL	CRM	CRM/SFA	ENTPRISE-APP	APPL	CUSTOMER/SALESFORCE MGMT	
58	58	5852000	CPU	IBM	MIDRANGE	MIDRANGE	MIDRANGE	IBM-MID	SERVER	
59	59	11623	PRG	Sunquest	MEDICAL-SW	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
60	60	6923	PRG	Oracle	PS HelpDesk	HELPDESK	ENTERPRISE-A	APPL	HELP DESK MANAGEMENT	
61	61	6386700	VPN	CISCO	VPN	VPN	VPN		VIRTUAL PRIVATE NETWORK	
62	62	8821	PRG	Stibo Sys	DBMS-SWFTWR	DBMS	DBMS-BI	APPL	DATABASE MANAGEMENT	
64	64	90298200	PRG	IBM	RATIONAL	SOFT-CONFIG	APPL-MGMT	SYSTEM	SOFTWARE CONFIGURATION MGMT	
65	65	10666	OPR	Apache-Soft	Tomcat	OS	OS		OPERATING SYSTEM	
66	66	7003	VIP	Cisco	TelePresence	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
68	68	90781900	PRG	ORACLE	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	APPL	ACCOUNTING	
70	70	1037	PRG	IBM	WebsphereMQ	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
71	71	11412	PRG	Pingdom	SAAS	SAAS	CLOUD-CMPTNG	APPL	SOFTWARE AS A SERVICE	
72	72	10980	RTR	Oracle	AcmePacket	ROUTER	ROUTER		ROUTER	
73	73	8837	VIP	Avotus	VOIP	VOICEOVERIP	VOICEOVERIP	VOICEOV	VOICE OVER INTERNET	
76	76	10704	PRG	DataXu	MARKETING-SW	MARKETING	ENTPRISE-APP	APPL	MARKETING PERFORMANCE MANAGE	
77	77	90394300	CPU	HP	EXT	EXT	EXT	RISC	SERVER	HIGH-END
78	78	11110	PRG	HlthcrSourc	HlthcarSourc	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
80	80	7131	RTR	IBM	WbSphrDtaPwr	ROUTER	ROUTER		ROUTER	
81	81	90336900	PRG	ORACLE	HR	HUMAN-RES	ENTPRISE-APP	APPL	HUMAN RESOURCES MANAGEMENT	
83	83	6373300	LSW	BROCADE	SWITCH	SWITCH	SWITCH		LAN SWITCH	
84	84	11739	PRG	PrfctoMbile	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
86	86	593	PRG	NetApp	DataONTAP	PAAS	CLOUD-CMPTNG	APPL	PLATFORM AS A SERVICE	
87	87	812	OPR	OpenGroup	Unix	UNIX	UNIX		OPERATING SYSTEM	
88	88	484	PRG	IBM	IBM Vsam	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
90	90	11785	PRG	Medidata	MEDICAL-SW	MEDICAL	IND-SPECIFIC	APPL	MEDICAL	
91	91	5218	PRG	AirWatch	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
92	92	495	PRG	Wimba	PUBLISHNG-SW	PUBLISHING	ENTPRISE-APP	APPL	DESIGN & PUBLISHING SOFTWARE	
93	93	532	PRG	Citrix	XenServer	SERVER-MGMT	SYSTEMS-MGMT	SYSTEM	SERVER MANAGEMENT TOOLS	
95	95	1290	PRG	Amazon	SimpleDB	IAAS	CLOUD-CMPTNG	APPL	INFRASTRUCTURE AS A SERVICE	
96	96	11321	PRG	Formstack	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
98	98	4258500	PRG	RATIONAL	RATIONAL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
99	99	1034	PRG	Oracle	ProdLcMgnt	DATA-CENTER	ENTERRISE-MG	SYSTEM	IT INFRASTRUCTURE & OPS MANA	
100	100	7347	PRG	Igloo Soft	COLLAB-SWFTR	COLLABORATIV	ENTPRISE-APP	SYSTEM	COLLABORATIVE/INTEGRN SOFTWR	
102	102	12399	PRG	MasterCtrl	DEV-TOOL	DEV-TOOL	APPL-MGMT	SYSTEM	APPL DEVELOPMENT TOOLS	
103	103	10687	PRG	ANSYS	CFX	MANUFACTURER	IND-SPECIFIC	APPL	MANUFACTURING	
104	104	10492	PRG	Iovation	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
105	105	7299	PRG	IBM	OpenPages	ENTPRISE-MGT	ENTPRISE-MGT	SYSTEM	ENTERPRISE MANAGEMENT	
107	107	381	PRG	Proofpoint	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	SYSTEM	ANTI-VIRUS	
