level_0	index	SITEID	CLOUD_COMPUTING_PLS	PCS_PLS	DAS_PLS	NAS_PLS	SAN_PLS	COMPLIANCE_PLS	WINDOWS7_ADOPTION_PLS	ASSET_MGMT_SW_PLS	CRM_SW_ILS	DOC_MGMT_SW_ILS	DOC_MGMT_SW_PLS	TABLET_PLS	INFRASTRUCTURE_AS_A_SERVICE_PLS	SURVEILLANCE_PRES	SURVEILLANCE_MANUF	SURVEILLANCE_INIT	DATA_LOSS_PREVENTION_PLS	DIGITAL_SIGNAGE_PLS	MESSAGING_SECURITY_PLS	PLATFORM_AS_A_SERVICE_PLS	SMARTPHONE_PLS	DESKTOP_PRINTERS	NETWORK_PRINTERS	SMARTPHONE_USERS	TABLETS	WORKSTATIONS	ENT_DESKTOP_PRINTERS	ENT_NETWORK_PRINTERS	ENT_SMARTPHONE_USERS	ENT_TABLETS	ENT_WORKSTATIONS	PERIPHERAL_BUDGET	ENT_PERIPHERAL_BUDGET	FILE_PRINT_SERVER_ILS	WEB_SERVER_ILS	APPLICATION_SERVER_ILS	EMAIL_SERVER_ILS	DATABASE_SERVER_ILS	TABLET_ILS	CLOUD_COMPUTING_ILS	DBMS_INIT	MULTIFUNCTION_PRINTER_INIT	IDACCESS_SW_INIT	ROUTER_INIT	VPN_INIT	ERP_CRM_SW_PRES	ERP_ACCOUNTING_SW_PRES	ERP_HUMAN_RES_SW_PRES	ERP_SUPPLY_CHAIN_SW_PRES	ERP_UNSPEC_SW_PRES	ACCOUNTING_SW_INIT	HUMAN_RES_SW_INIT	SUPPLY_CHAIN_SW_INIT	XP_MIGRATION_INIT	REVEN_REVISED
66044	66044	202079140	2	1	1	2	2	3	2	1				2					1	1	1	2	1	1	2	1	0	0	<	<	0	<	<	1000	<							2															0.2
68379	68379	202082488																						1	2	0	0	1						0																							0.5
79500	79500	202097686																						1	1	0	0	0						0																							0.1
129605	129605	206017143																						1	0	0	0	0						0																							0.6
134877	134877	207003319	5	5	5	5	5	3		5	5			5	5				2		3	4		0	0	10	0	0	<	<	<	<	<	4000	<																						0.2
135140	135140	207006178	2	5	5	5	5	4		5	3			5	4				5		5	2		3	2	55	0	0	2	5	0	<	2	1000	<																						0.5
137343	137343	207022585	5	5	5	5	5	3		5	5			5	5				5		5	4		0	0	5	0	0	<	<	0	<	<	2000	<																						0.6
146688	146688	207069043	3	5	3	3	4	2		3	2			4	4				3		3	3		3	10	13	0	4	1	5	<	<	1	7000	<																						0.5
147025	147025	207070202	2	2	2	2	2	2		2	2			2	3				2		2	2		1	2	1	0	1	<	<	0	<	<	1000	<																						0.7
148172	148172	207074222	2	4	2	2	3	2		2	2			2	2				2		2	2		0	0	3	0	0	<	<	0	<	<	3000	<																						0.6
170867	170867	207157582	2	3	3	2	3	3		2	2			3	3				2		2	2		0	0	11	0	0	<	<	<	<	5	6000	<																						0.2
183179	183179	207201245	3	4	3	2	3	2		3	2			2	2				2		3	3		3	7	12	0	5	<	<	0	<	<	7000	<																						0
186323	186323	207208473	5	5	5	5	5	5	5	5	5	5		4					5	3	5	5	5	12	30	32	3	17	1	1	<	<	1	24000	<							4															1
186444	186444	207208675	2	1	2	2	2	2	2	1	3	2		3					1	1	1	2	2	0	0	1	0	0	<	<	0	<	<	0	<							2															0.1
186636	186636	207208993	2	1	2	2	2	2	2	1	3	2		3					1	1	2	2	3	1	1	2	0	0	<	<	0	<	<	1000	<							2															0.4
193118	193118	207218331																						1	1	0	0	0						0																							0.6
212266	212266	207244262																						2	5	0	0	2						0																							0.9
256310	256310	208000702	5	5	5	5	5	4		5	5			5	5				5		5	5		20	34	44	2	14	<	<	0	<	<	5000	<																		Yes	Yes			0.5
256324	256324	208000770	5	5	5	5	5	4		5	5			5	5				5		5	4		6	19	21	2	18	<	2	<	<	2	120000	<																						0.5
256325	256325	208000773																						0	0	0	0	0						0																							0.5
256327	256327	208000798	4	5	5	5	5	5		5	2			5	5	Yes	AXIS		5		5	5		0	0	38	0	0	<	<	0	<	1	68000	<																						0.8
256333	256333	208000838																						0	0	0	0	0						0																							0.2
256335	256335	208000859	5	5	5	5	5	5		5	5			5	5				5		5	5		0	0	31	0	0	<	<	0	<	5	55000	<																						0.2
256338	256338	208000878	5	5	5	5	5	4		5	5			5	5				5		5	3		161	231	169	49	62	2	2	0	<	1	61000	<																						0.2
256340	256340	208000882	5	5	5	5	5	3		5	5			5	4				5		5	3		31	55	6	4	13	1	1	0	<	2	42000	<																						0
256343	256343	208000892	4	5	5	5	5	4		5	3			5	5				5		5	4		41	42	35	11	20	1	1	0	2	2	17000	<																						0.4
256345	256345	208000897	5	5	5	5	5	5		5	5			5	5				5		5	5		115	165	77	44	52	5	1	0	2	2	19000	<																						0.6
256347	256347	208000908	4	5	5	4	3	2		5	5			5	4				4		4	3		9	13	29	5	6	<	<	0	<	<	2000	<																						0
256349	256349	208000916	5	5	5	5	5	5		5	5			5	5				5		5	5		312	303	96	126	126	<	<	0	<	1	68000	<																						0.4
