level_0	index	SITEID	REF_TYPE	REF_ID
2	2	208047916	DUN	209122964
35	35	208078583	DUN	252406707
72	72	209055825	DUN	202664082
82	82	208131185	DUN	251042750
123	123	208101144	DUN	249709841
150	150	209163054	DUN	
221	221	208132255	DUN	253619910
237	237	208085487	DUN	255097552
254	254	208084362	DUN	254676265
281	281	208105399	DUN	243882896
311	311	208118188	DUN	246933100
352	352	209182230	DUN	248004512
358	358	209059050	DUN	203814637
369	369	208126098	DUN	242268816
385	385	209016140	DUN	244484684
434	434	208131238	DUN	245665661
523	523	208135489	DUN	258141899
530	530	208080760	DUN	253563365
541	541	208224751	DUN	200609086
576	576	208086496	DUN	255991770
584	584	208367958	DUN	203331970
601	601	208129063	DUN	244290982
604	604	209058202	DUN	203818260
632	632	208111520	DUN	202978896
642	642	208111097	DUN	202810607
669	669	208470547	DUN	208796235
682	682	208110087	DUN	202657086
703	703	208054312	DUN	240759568
709	709	208132233	DUN	253237812
711	711	208452483	DUN	240526108
722	722	208130035	DUN	244916149
723	723	208023097	DUN	200263999
828	828	208122654	DUN	248916798
837	837	208108982	DUN	201648933
846	846	208079211	DUN	252578166
849	849	208110978	DUN	202908927
915	915	209004668	DUN	
930	930	208458727	DUN	251901877
936	936	208131813	DUN	245705314
961	961	208101851	DUN	253569388
979	979	208110084	DUN	202656989
1005	1005	208589141	DUN	203310024
1006	1006	209058600	DUN	248000903
1035	1035	208135251	DUN	257889001
1050	1050	208095599	DUN	205656218
1089	1089	208126859	DUN	242760457
1102	1102	208114907	DUN	206990728
1110	1110	208083548	DUN	243426454
1111	1111	208131351	DUN	245752113
1113	1113	208041781	DUN	206492535
1120	1120	208121723	DUN	248498946
1156	1156	208460126	DUN	254663651
1158	1158	208133430	DUN	255017428
1172	1172	208024271	DUN	201013005
1204	1204	208115303	DUN	207918582
1206	1206	208054208	DUN	240746995
1225	1225	208000897	DUN	256904137
1309	1309	208132768	DUN	254081813
1319	1319	208654225	DUN	250463239
1337	1337	208126297	DUN	242954600
1349	1349	208115579	DUN	208069042
1380	1380	208821248	DUN	200224889
1463	1463	208462145	DUN	259055366
1472	1472	208568193	DUN	247603546
1490	1490	208121126	DUN	248475159
1492	1492	209058435	DUN	254978398
1512	1512	208047735	DUN	251508933
1570	1570	208091845	DUN	258692359
1574	1574	208468889	DUN	247811032
1609	1609	208462335	DUN	259702376
1617	1617	208125534	DUN	242049851
1644	1644	208071823	DUN	249223454
1692	1692	208112115	DUN	203092705
1700	1700	208450023	DUN	205454023
1718	1718	208105302	DUN	243812893
1724	1724	208071770	DUN	249212622
1727	1727	208110195	DUN	202671319
1735	1735	208095914	DUN	202658886
1736	1736	208449023	DUN	203164736
1773	1773	209412964	DUN	259521990
1808	1808	208108094	DUN	200326408
1812	1812	208044699	DUN	207636200
1820	1820	208136851	DUN	259990588
1822	1822	208068866	DUN	247405301
1833	1833	208130951	DUN	245204222
1839	1839	208204475	DUN	203318308
1849	1849	208461069	DUN	257113436
1850	1850	208061776	DUN	243185506
1881	1881	208023779	DUN	200341209
1899	1899	208853866	DUN	203093430
1921	1921	208071001	DUN	248737504
1931	1931	209082901	DUN	247048148
1955	1955	208026821	DUN	201757312
1997	1997	208236382	DUN	256465993
2026	2026	208065147	DUN	243750655
2050	2050	208098046	DUN	243894271
2051	2051	208066874	DUN	245277116
2052	2052	209412631	DUN	
