level_0	index	SITEID	WORKSTATION_ILS	SERVER_VIRTUALIZATION_ILS	DAS_ILS	NAS_ILS	SAN_ILS	TAPE_LIBRARY_ILS	STORAGE_MGMT_SW_ILS	VOIP_ILS	T1T3_ILS	OCX_ILS	ROUTER_ILS	WAN_ILS	ATM_FRAME_RELAY_ILS	MPLS_ILS	METRO_ILS	WIRELESS_LAN_ILS
25	25	208086118	1	3	2	3	3	3	4	5				2	1	3		3
45	45	208095974	1	3	2	3	4	3	4	5				2	1	2		3
48	48	208053142	1	3	2	3	3	2	4	5				2	1	2		3
53	53	208012001	5	5	5	3	5	5	5	5			5	1	5	1	5	3
65	65	208073108	1	2	2	2	2	2	3	3				2	1	2		3
101	101	208051887	1	3	2	3	3	2	4	5				2	1	1		3
145	145	208024633	1	3	2	3	4	3	4	5				2	1	2		3
150	150	208106592	2	3	2	1	1	5	3	1	1	2	2	4	3	2	5	5
155	155	208104434	5	2	2	4	5	3	3	2	2	2	2	5	4	3	5	4
192	192	208052856	1	3	2	3	2	2	2	5				2	1	2		3
196	196	208023045	1	3	2	3	2	3	2	5				2	1	4		2
217	217	208022895	1	3	2	3	2	3	2	2				2	1	5		2
240	240	208026931	1	3	2	3	3	2	4	5				2	1	2		3
259	259	208004315	5	5	5	3	4	5	5	4				2	5	3		3
265	265	208094997	1	2	2	3	2	2	2	5				2	1	3		2
295	295	208102145	1	3	2	3	3	2	4	5				2	1	1		3
343	343	208087433	5	5	5	5	5	5	5	4				2	5	1		3
367	367	208076562	1	2	2	2	2	2	3	4				2	1	2		3
368	368	208088414	1	3	2	3	3	2	4	4				2	1	2		3
370	370	208045391	1	3	2	3	3	2	4	3				2	1	2		3
412	412	208096108	1	3	2	3	2	5	2	5				2	1	3		2
429	429	208072582	1	2	2	2	2	2	3	2				2	1	1		3
462	462	208032575	1	3	2	3	2	3	2	5				2	1	5		3
895	895	208106736																
488	488	208093516	1	2	2	2	2	2	2	5				1	1	2		3
496	496	208051896	1	3	2	3	3	2	4	5				2	1	1		3
515	515	208100928	1	2	2	2	2	2	3	5				2	1	1		3
521	521	208078323	1	3	2	3	2	5	2	3				2	1	5		2
525	525	208104579	4	2	2	2	2	4	2	4	2	2	2	5	4	5	5	5
556	556	208058361	1	2	2	2	2	2	3	4				2	1	1		3
606	606	208041193	1	3	2	3	4	4	2	5				2	1	4		3
710	710	208054982	1	2	2	2	2	2	2	4				1	1	2		3
731	731	208071748	1	1	2	2	2	2	3	1				2	1	2		3
733	733	208080932	1	3	2	3	2	4	2	5				2	1	5		2
800	800	208101130	1	3	2	3	3	2	4	5				1	1	2		3
810	810	208055066	1	2	2	2	2	2	2	4				2	1	2		3
863	863	208080970	1	3	2	3	2	4	1	4				2	1	4		2
905	905	208043010	1	3	2	3	2	5	2	3				2	1	5		2
942	942	208072721	1	3	2	3	3	4	4	5				2	1	3		2
953	953	208011313	5	5	5	5	5	5	5	5			5	1	5	2	5	5
989	989	208041857	1	3	2	3	3	2	4	4				1	1	2		3
991	991	208100203	1	3	2	3	3	2	4	5				2	1	1		3
1004	1004	208106992																
1038	1038	208100585	1	3	2	3	3	2	4	4				2	1	1		3
1040	1040	208095580	1	2	2	2	2	2	3	5				2	1	1		3
1045	1045	208027636	1	3	2	3	3	2	4	5				2	1	2		3
1053	1053	208093428	1	3	2	3	4	4	4	5				1	1	2		3
1058	1058	208103596	3	3	2	2	2	3	3	2	1	2	2	4	3	2	5	5
1070	1070	208107222																
1075	1075	208091915	1	3	2	3	4	4	2	5				1	1	3		3
1086	1086	208045506	1	2	2	2	2	2	2	2				1	1	5		2
1108	1108	208035645	1	3	2	3	3	2	4	4				2	1	1		3
1168	1168	208082801	1	3	2	3	4	3	4	5				2	1	2		3
1187	1187	208088663	1	3	2	3	3	2	4	5				2	1	1		3
1221	1221	208022471	1	3	2	3	3	2	4	5				2	1	2		3
1276	1276	208084334	1	3	2	3	3	2	4	5				2	1	2		3
1331	1331	208009376	5	5	5	3	5	5	5	5				1	5	5		5
1377	1377	208105432	4	4	4	5	4	4	3	2	4	2	2	5	4	5	5	5
1384	1384	208045686	1	2	2	2	2	2	3	2				2	1	2		3
1418	1418	208066239	1	3	2	3	3	2	4	3				2	1	2		3
1467	1467	208032424	1	2	2	2	2	2	2	2				2	1	2		3
1471	1471	208062151	1	1	2	2	2	2	1	2				2	1	5		2
1475	1475	208044623	1	2	2	2	2	2	2	5				2	1	2		3
1490	1490	208080450	1	2	2	2	2	2	3	2				2	1	2		3
1509	1509	208054489	1	2	2	2	2	2	2	2				2	1	2		3
1564	1564	208035845	1	3	2	3	3	2	4	5				1	1	2		3
1583	1583	208103593																
1617	1617	208086858	1	3	2	3	4	4	4	5				2	1	2		3
1649	1649	208023097	1	3	2	3	2	4	2	3				2	1	5		2
1670	1670	208067448	1	3	2	3	3	2	4	5				2	1	1		3
1681	1681	208066677	1	3	2	3	4	3	2	4				1	1	2		3
1723	1723	208034509	1	3	2	3	4	4	2	4				1	1	5		3
1754	1754	208097091	1	3	2	3	3	2	4	5				2	1	3		3
1777	1777	208104477	4	4	3	5	5	3	4	4	3	2	2	5	4	5	5	5
1784	1784	208049030	1	3	2	3	4	4	4	4				1	1	1		3
1785	1785	208102635	1	3	2	3	4	4	4	5				1	1	2		3
1794	1794	208096121	1	2	2	3	2	2	2	4				2	1	5		2
1822	1822	208079649	1	3	2	3	3	2	4	5				2	1	1		3
1823	1823	208099854	1	3	2	3	3	3	4	5				2	1	2		3
1825	1825	208054399	1	2	2	2	3	2	4	4				2	1	2		3
1905	1905	208043001	1	3	2	3	2	5	2	3				2	1	5		2
1913	1913	208010678	1	5	3	3	4	5	5	5				1	1	2		3
1941	1941	208051478	1	3	2	3	3	2	4	4				2	1	2		3
