level_0	index	SITEID	LAPTOP_PLS	WORKSTATION_PLS	DESKTOP_VIRTUALIZATION_PLS	SERVER_PLS	SERVER_OS_PLS	SERVER_VIRTUALIZATION_PLS	MULTIFUNCTION_PRINTER_PLS	HIGHVOLUME_PRINTER_PLS	UPS_3PHASE_PLS	LOWER_POWER_CONSUMPTION_PLS	STORAGE_CAPACITY_EXPANSION_PLS	STORAGE_VIRTUALIZATION_PLS	STORAGE_MGMT_SW_PLS	UCS_PLS	VOIP_PLS	NETWORK_LINE_PLS	WIRELESS_LAN_PLS	ROUTER_PLS	VPN_PLS	NETWORK_SERVICES_PLS	SECURITY_SW_PLS	ENTERPRISE_MGMT_SW_PLS	IDACCESS_SW_PLS	ERP_SW_PLS	DBMS_PLS	SOFTWARE_AS_A_SERVICE_PLS	ANTIVIRUS_SW_PLS	OUTSOURCE_SW_SERVICES_PLS
29374	29374	207022585	0	0	0	0		0		5			0	0	0	0	0	0	0			0	0			0	0	5	0	
30647	30647	207006178	5	2	4	5		5		5			4	5	5	5	4	5	4			5	4			5	5	4	5	
34224	34224	207003319	0	0	0	0		0		5			0	0	0	0	0	0	0			0	0			0	0	5	0	
45996	45996	207069043	5	4	4	5		5		3			5	4	5	5	5	5	3			5	5			5	4	4	5	
47687	47687	207074222	0	0	0	0		0		2			0	0	0	0	0	0	0			0	0			0	0	2	0	
58000	58000	207157582	0	0	0	0		0		2			0	0	0	0	0	0	0			0	0			0	0	3	0	
68471	68471	208001312	4	4	2	4		4		5			4	3	3	4	5	2	4			2	2			4	4	4	4	
68480	68480	208002736	5	4	2	5		5		2			5	2	4	5	1	5	4			5	5			5	5	2	5	
68481	68481	208002829	5	4	3	4		3		5			4	3	3	3	4	2	2			2	4			5	4	4	5	
68482	68482	208003170	5	5	5	5		5		2			4	5	5	5	5	4	5			4	4			5	4	2	5	
68483	68483	208003372	5	5	4	5		5		5			5	5	5	5	5	5	5			5	5			5	5	5	5	
68485	68485	208004656	4	2	2	4		4		4			4	5	4	5	4	2	2			2	2			4	2	4	4	
68488	68488	208005787	5	5	2	5		5		5			5	5	5	5	5	4	2			4	5			5	5	5	5	
68492	68492	208006239	5	4	5	5		5		2			5	5	5	5	5	2	4			4	5			5	4	2	5	
68927	68927	208006518	5	4	5	5		5		5			5	3	5	4	5	2	2			4	4			5	5	5	3	
68928	68928	208006988	0	0	0	0		0		4			0	0	0	0	0	0	0			0	0			0	0	5	0	
68929	68929	208007038	5	5	4	4		5		4			4	4	4	4	5	3	3			2	4			4	3	4	4	
68930	68930	208007445	3	2	2	2		2		3			2	2	2	3	4	4	2			1	2			4	2	2	2	
68933	68933	208008019	3	2	3	4		4		3			4	3	4	5	4	5	2			2	5			5	3	3	4	
68936	68936	208008376	3	5	2	5		5		5			5	5	5	5	5	3	2			4	4			5	5	5	5	
68937	68937	208008795	5	5	5	5		5		5			5	5	5	5	5	5	4			5	5			5	5	5	5	
68965	68965	208010872	3	4	4	4		2					4	4	2	4	5	2	2			2	2			4	5		5	
68966	68966	208010884	2	2	2	2		2		2			3	2	3	3	4	3	2			1	1			5	2	2	2	
68967	68967	208010916	2	5	2	5		4		5			5	4	5	5	5	3	2			4	4			5	4	4	5	
68968	68968	208010931	2	5	4	5		5		3			4	4	5	5	5	2	2			4	3			3	5	4	5	
68969	68969	208010934	0	0	0	0		0		5			0	0	0	0	0	0	0			0	0			0	0	5	0	
68970	68970	208010942	1	4	2	3		2		2			3	2	3	2	4	2	2			1	3			3	2	2	4	
68971	68971	208010947	0	0	0	0		0		3			0	0	0	0	0	0	0			0	0			0	0	3	0	
68972	68972	208010959	5	4	4	5		5		5			5	5	5	5	5	5	2			3	5			4	4	5	5	
68973	68973	208011013	5	4	5	5		5		2			5	5	4	4	5	5	2			4	5			4	4	2	4	
68974	68974	208011153	2	5	2	4		4		5			4	4	4	4	5	2	2			1	4			3	4	4	4	
68977	68977	208011313	2	3	2	4		4		5			5	2	4	5	4	2	2			1	3			5	4	4	3	
68978	68978	208011355	2	3	2	4		3		3			3	4	3	3	4	2	2			1	4			2	5	3	4	
68979	68979	208011406	2	5	2	4		4		5			4	3	4	3	4	2	2			1	3			3	3	4	4	
69089	69089	208000908	5	3	5	5		4		4			4	3	5	5	4	2	3			2	5			4	1	3	5	
69092	69092	208001070	5	4	4	5		5		3			4	5	4	5	5	5	2			2	5			3	4	3	4	
69093	69093	208001088	5	5	5	5		5		5			5	5	5	5	5	5	5			3	5			5	5	5	5	
69101	69101	208001662	5	4	4	5		5		5			5	3	5	5	5	4	3			5	5			5	5	5	5	
69108	69108	208004046	5	5	4	5		5		5			5	5	5	5	5	5	4			5	4			5	5	5	5	
69110	69110	208004173	5	4	3	5		4		5			4	4	4	5	5	5	4			2	3			5	3	3	3	
69112	69112	208005391	5	2	2	2		2		5			2	2	3	4	5	2	5			4	2			3	3	4	3	
69118	69118	208005944	5	5	5	5		5		5			5	5	5	5	5	3	4			5	5			5	5	3	5	
69119	69119	208006009	5	5	5	5		5		3			5	5	5	5	5	5	4			5	5			4	5	2	5	
69120	69120	208006279	5	3	2	5		4		4			4	4	5	5	5	2	3			2	4			5	5	4	4	
69201	69201	208009865	2	5	3	5		5		5			4	4	4	3	4	2	2			3	5			4	3	5	5	
69210	69210	208010679	3	2	5	4		4		5			4	4	4	3	2	2	2			2	2			3	3	3	4	
69214	69214	208010912	4	2	2	3		2		2			3	3	4	2	4	2	3			2	4			3	5	3	3	
69215	69215	208010917	2	2	3	4		4		5			4	2	3	2	4	2	2			1	2			5	3	5	3	
69216	69216	208010986	4	3	2	4		4		5			4	5	5	5	4	2	2			1	4			4	2	2	4	
69217	69217	208011147	1	2	1	2		2		4			2	1	2	2	2	2	2			1	1			5	2	4	2	
69218	69218	208011251	0	0	0	0		0		2			0	0	0	0	0	0	0			0	0			0	0	4	0	
69221	69221	208011494	5	5	4	5		4		5			5	5	5	4	4	4	4			2	4			4	5	4	5	
69224	69224	208011771	5	5	4	5		5		5			5	5	5	5	5	4	3			5	5			5	4	5	4	
69225	69225	208011785	5	3	3	4		4		5			4	3	3	3	4	2	2			1	4			2	2	3	4	
69226	69226	208011803	5	3	2	3		2		3			2	4	2	3	5	4	2			1	2			4	2	2	2	
69229	69229	208011884	0	0	0	0		0					0	0	0	0	0	0	0			0	0			0	0		0	
69230	69230	208011930	5	5	3	5		5		5			5	5	5	4	5	5	2			4	5			2	4	5	5	
69231	69231	208011932	5	5	4	5		5		5			5	5	5	5	5	5	4			4	3			5	5	5	5	
69232	69232	208011972	3	4	4	5		4		5			5	4	5	5	4	2	3			2	4			5	4	5	5	
69240	69240	208012551	5	4	4	5		5		5			4	4	4	5	2	4	3			3	4			5	3	3	4	
69245	69245	208012738	1	3	1	5		3		5			5	4	5	2	5	2	2			4	4			2	2	5	4	
69247	69247	208012860	3	5	2	5		5		5			5	5	5	5	5	3	2			4	4			5	5	4	5	
69248	69248	208012884	5	4	4	2		2		4			2	5	2	4	4	3	3			3	5			4	4	2	5	
69249	69249	208012998	0	0	0	0		0		5			0	0	0	0	0	0	0			0	0			0	0	4	0	
69250	69250	208011472	2	5	2	4		3		2			3	3	4	3	4	2	2			1	2			3	4	3	5	
69252	69252	208011568	1	2	2	3		3		5			2	4	2	4	4	2	2			1	2			4	3	5	4	
69253	69253	208011622	5	4	2	5		5		4			5	4	5	5	5	5	4			4	4			5	4	4	5	
69254	69254	208011628	2	5	2	4		4		4			5	4	5	5	5	2	2			2	5			4	4	4	5	
69255	69255	208011732	5	4	5	5		5		3			5	5	4	4	5	4	2			4	5			4	4	2	4	
69256	69256	208011751	5	4	5	5		5		5			5	4	5	5	5	4	2			4	5			4	5	5	5	
69257	69257	208011754	0	0	0	0		0		5			0	0	0	0	0	0	0			0	0			0	0	5	0	
69258	69258	208011873	5	2	3	3		3		3			4	2	3	2	2	3	2			1	4			3	2	4	4	
69260	69260	208011916	5	2	2	4		4		3			5	4	3	2	4	2	3			1	3			4	2	4	5	
69261	69261	208011951	5	5	5	5		5		5			5	5	5	5	5	4	4			5	5			5	5	4	5	
69269	69269	208012566	2	4	5	5		5		5			5	5	3	5	5	2	1			2	3			2	4	4	5	
69278	69278	208012987	2	4	5	5		5		2			5	5	3	5	5	2	2			2	4			2	4	4	5	
69279	69279	208013128	5	5	5	5		1		2			5	4	5	5	5	3	4			5	1			5	5	3	5	
69280	69280	208017063	5	3	2	2		4		2			4	2	3	5	5	4	3			3	2			5	2	2	2	
69287	69287	208017503	3	4	4	4		5		2			4	5	4	5	4	2	2			2	3			5	4	2	4	
69292	69292	208017824	2	4	3	5		4		5			4	5	5	5	4	2	2			4	3			5	4	4	3	
69296	69296	208018053	5	5	4	3		3		5			4	5	2	3	4	2	2			2	3			3	4	4	4	
69467	69467	208013207	2	2	5	5		5					5	5	5	4	3	3	2			4	4			2	5		4	
69474	69474	208017670	5	5	5	5		5		5			5	5	5	5	5	5	4			5	5			5	5	5	5	
69475	69475	208017708	4	2	2	2		2					4	2	2	3	5	5	3			2	2			3	5		4	
69477	69477	208017916	5	5	5	5		5		5			5	5	5	5	5	2	5			3	5			5	5	4	5	
69479	69479	208017998	0	0	0	0		0					0	0	0	0	0	0	0			0	0			0	0		0	
69496	69496	208019356	5	4	2	5		5		4			4	5	5	4	5	4	3			4	5			4	5	3	5	
69504	69504	208020972	5	2	3	2		2					3	2	4	3	4	2	2			1	3			4	4		4	
69507	69507	208021234	5	4	2	4		4		2			4	2	4	4	5	3	2			2	2			4	4	2	3	
69512	69512	208021670	2	3	5	5		5		2			5	5	5	5	5	4	2			4	3			2	4	2	5	
69513	69513	208021685	5	2	3	4		4		3			4	2	5	4	4	4	5			2	4			3	5	2	4	
